pageable-sdma1.h2d.dat,pinned-sdma1.h2d.dat,pageable-sdma0.h2d.dat,pinned-sdma0.h2d.dat,pageable-sdma1.d2h.dat,pinned-sdma1.d2h.dat,pageable-sdma0.d2h.dat,pinned-sdma0.d2h.dat,pageable-sdma1.d2d.dat,pinned-sdma1.d2d.dat,pageable-sdma0.d2d.dat,pinned-sdma0.d2d.dat
0.170839,0.183486,0.0879657,0.0953912,0.167187,0.183717,0.0858261,0.0967858,0.416064,0.414981,0.408906,0.416504
0.352592,0.363332,0.179781,0.194101,0.327842,0.364615,0.174333,0.195785,0.928933,0.915954,0.912599,0.938236
0.521017,0.544223,0.268421,0.292022,0.477655,0.535948,0.257673,0.293848,1.43757,1.39785,1.40259,1.51067
0.692212,0.724192,0.354138,0.389297,0.623007,0.732234,0.339829,0.385675,1.90568,1.91245,1.91622,1.96202
0.863951,0.885969,0.445814,0.485705,0.782695,0.861153,0.418478,0.481694,2.40294,2.42781,2.42275,2.51431
1.00412,1.06154,0.530047,0.583556,0.923824,1.02526,0.493529,0.574062,2.86199,2.8455,2.91646,3.10457
1.1359,1.23071,0.623225,0.681203,1.01387,1.19943,0.568032,0.659988,3.39764,3.42927,3.49665,3.53013
1.30086,1.39505,0.713143,0.793279,1.14045,1.36224,0.632741,0.735783,3.7793,3.87864,4.01699,3.92631
1.42527,1.57508,0.774881,0.871552,1.27399,1.49491,0.698918,0.812057,4.34242,4.45648,4.34902,4.56396
1.57866,1.71866,0.881994,0.937116,1.40133,1.63204,0.762328,0.920524,4.7928,5.03308,4.67315,4.8086
1.72274,1.89033,0.96816,1.06616,1.52,1.81373,0.824029,1.0188,5.41164,5.45631,5.52547,5.49474
1.75756,2.03664,1.052,1.1658,1.65281,1.93802,0.910268,1.10974,5.85963,5.779,5.81081,5.84736
2.00846,2.14376,1.1347,1.26358,1.77984,2.09258,0.982887,1.18534,6.38208,6.25176,6.43714,6.36438
2.16803,2.34569,1.21103,1.36057,1.87477,2.228,1.06653,1.27664,7.00904,7.19513,6.83891,6.76195
2.25553,2.49256,1.30169,1.45936,2.02394,2.40671,1.12182,1.38141,7.02454,7.5765,7.63078,7.34633
2.39439,2.6256,1.3884,1.54708,2.10242,2.49713,1.18248,1.4755,7.84584,7.84734,7.95502,7.75875
2.50952,2.74319,1.4731,1.64352,2.23769,2.56842,1.26097,1.54862,8.16694,8.25767,8.06307,8.45467
2.63724,2.87021,1.5413,1.73951,2.3485,2.81547,1.32319,1.64706,8.52307,8.96071,8.57159,8.77689
2.8141,3.0582,1.63675,1.81463,2.49997,2.92471,1.38571,1.73366,9.18039,9.01584,9.21701,9.09014
2.90669,3.17949,1.71292,1.87049,2.6264,3.0989,1.45589,1.82588,9.72515,9.64709,9.8167,9.83178
3.13049,3.47324,1.8124,2.11094,2.8737,3.38284,1.58123,1.95673,11.0034,10.9605,11.0077,10.1703
3.30199,2.82442,2.00177,2.18638,3.13294,2.81567,1.6853,2.09056,11.1584,12.1212,11.7485,11.7272
3.57899,3.04227,2.08066,2.35572,3.25396,3.00165,1.78394,2.23253,12.708,12.7962,11.9977,12.6898
3.81769,3.22251,2.25577,2.5252,3.4941,3.19702,1.89903,2.39782,13.6712,13.2618,13.5637,14.029
