pageable-sdma1.h2d.dat,pinned-sdma1.h2d.dat,pageable-sdma0.h2d.dat,pinned-sdma0.h2d.dat,pageable-sdma1.d2h.dat,pinned-sdma1.d2h.dat,pageable-sdma0.d2h.dat,pinned-sdma0.d2h.dat,pageable-sdma1.d2d.dat,pinned-sdma1.d2d.dat,pageable-sdma0.d2d.dat,pinned-sdma0.d2d.dat
0.182206,0.1298,0.0589573,0.0529054,0.15717,0.125174,0.0540201,0.0558504,0.507383,0.509351,0.477964,0.475306
0.37049,0.24942,0.12998,0.103749,0.343484,0.250482,0.111061,0.114376,1.10106,1.03706,1.09017,1.04639
0.523514,0.384421,0.189626,0.159898,0.497406,0.38243,0.161036,0.169021,1.59749,1.62538,1.60451,1.52366
0.725413,0.488303,0.238724,0.226417,0.642828,0.499691,0.203236,0.22326,2.11461,2.18897,2.12578,2.02893
0.898968,0.616226,0.292965,0.275555,0.78776,0.631176,0.25143,0.282581,2.68961,2.63534,2.72106,2.55183
1.00817,0.741059,0.348096,0.334679,0.876807,0.741918,0.298959,0.325195,3.3,3.14493,3.34313,3.13147
1.2447,0.852964,0.406149,0.391038,0.955703,0.872503,0.349715,0.364274,3.7938,3.71591,3.84467,3.69709
1.40949,0.985132,0.482203,0.433855,1.092,0.985226,0.413673,0.426682,4.18724,4.40805,4.18942,4.21269
1.51057,1.06454,0.555834,0.465763,1.17863,1.09952,0.479533,0.500573,4.73096,4.88286,4.69433,4.59651
1.74958,1.24175,0.607013,0.532421,1.30989,1.22875,0.521595,0.572256,5.50242,5.30076,5.55188,5.07483
1.90038,1.34978,0.632564,0.618429,1.42319,1.354,0.546427,0.620138,6.06171,5.82836,6.12573,5.84348
1.99557,1.45468,0.680946,0.6798,1.55057,1.48646,0.587596,0.672921,6.39927,6.47548,6.46261,6.40661
2.22161,1.56214,0.720959,0.727165,1.64325,1.54747,0.636861,0.733528,6.87888,7.01592,6.88663,6.64928
2.36528,1.70572,0.76983,0.782426,1.72655,1.72718,0.688592,0.75898,7.55712,7.47679,7.52143,7.14791
2.43608,1.86611,0.861176,0.818209,1.83315,1.829,0.763545,0.785457,8.13559,7.87361,8.20776,7.72706
2.63746,1.90852,0.962797,0.831223,1.9481,1.90599,0.84401,0.853364,8.66237,8.44789,8.62125,8.35151
2.82138,2.03692,0.984031,0.8944,2.07469,2.0262,0.879818,0.951897,8.37398,8.98895,8.82302,8.85903
2.88774,2.12869,0.979295,1.00675,2.152,2.13392,0.884499,1.02713,8.79129,9.37815,8.96489,9.08876
3.11324,2.27299,1.0155,1.07473,2.26163,2.28919,0.917592,1.07219,9.97744,9.52689,10.3677,9.6173
3.17212,2.34506,1.0819,1.11282,2.38238,2.36877,0.956576,1.12207,10.3979,10.0274,11.0452,10.4149
3.38653,2.58016,1.14638,1.22848,2.52816,2.58359,1.05587,1.24045,11.2887,11.6039,11.7052,11.5646
3.68078,2.83636,1.28257,1.313,2.72695,2.86412,1.1681,1.29983,12.2316,12.7177,12.8092,11.5532
3.83806,3.05529,1.44281,1.35559,2.97268,3.04733,1.33273,1.35902,13.7365,13.4302,13.3855,12.4703
4.08221,3.23785,1.54617,1.47079,3.10961,3.34944,1.41231,1.49323,15.1079,14.316,14.654,13.7239
4.39294,3.51856,1.54919,1.66528,3.24144,3.50443,1.43624,1.67378,15.4822,15.1388,15.72,14.7366
4.47367,3.70099,1.61924,1.81463,3.47168,3.81821,1.50135,1.82736,15.8237,16.9781,16.0768,16.3236
4.83835,3.90329,1.67873,1.89596,3.6107,3.93996,1.56999,1.91424,16.8307,18.0637,17.2031,16.9634
4.98753,4.0247,1.75783,2.00864,3.76507,4.23468,1.66955,2.01726,18.9745,18.0653,19.5441,18.0598
5.30408,4.33761,1.88832,2.08408,3.64643,4.28931,1.80262,2.14442,20.6669,19.5989,20.0515,19.1249
5.52331,4.46984,2.06461,2.092,4.04526,4.58439,1.97648,2.16888,21.592,21.3955,20.237,20.0468
5.72658,4.74993,2.27023,2.18733,4.07772,4.77704,2.06935,2.2016,22.5999,22.1874,21.1381,20.3501
6.13037,4.87786,2.23622,2.43439,4.2499,4.99177,2.06617,2.34441,23.0983,22.9456,22.5438,21.0601
6.3235,5.19153,2.16128,2.60069,4.42646,5.33874,2.09947,2.57716,23.0495,22.0234,24.7864,22.9462
6.61371,5.25766,2.36365,2.67717,4.50966,5.38567,2.17295,2.74198,23.8903,23.9229,25.144,24.7517
6.57841,5.52542,2.44096,2.73989,4.66122,5.72858,2.25393,2.82086,26.4051,26.5093,25.4092,25.7906
7.51554,6.47223,2.71338,3.24772,5.10933,6.52476,2.70418,3.33933,32.6527,32.5938,29.8452,28.1265
8.48903,7.36991,3.09452,3.61012,5.6163,7.53524,3.19519,3.91752,34.685,35.1541,37.1588,34.2472
8.91186,8.0771,3.44576,4.07451,5.9959,8.40805,3.58566,4.29902,38.8394,39.617,42.1703,40.41
9.60416,9.09516,3.59193,4.83564,6.38515,9.41634,3.76318,4.6849,47.295,47.2906,44.4788,44.444
9.76963,9.49743,3.78534,5.63086,6.384,10.1851,3.98975,5.28077,51.0006,50.8133,50.7378,47.8277
15.1874,16.032,6.44253,10.9374,7.80615,17.7623,6.45268,11.0778,101.92,100.322,101.808,93.8666
17.8195,21.4602,8.28783,16.2238,9.43826,23.2828,8.48155,16.8635,150.441,147.464,153.154,144.686
19.1326,25.2651,9.40765,21.5439,9.81806,27.0466,9.87059,22.0183,194.234,193.699,201.652,198.988
19.0072,28.8915,10.3025,25.7084,10.4644,30.5073,11.1641,27.4626,251.276,249.364,243.877,237.387
19.4673,31.4247,11.4084,30.1207,11.0858,32.9941,12.7348,32.7207,303.978,303.195,280.443,273.721
20.3766,33.5541,12.8677,36.4596,12.4591,35.2896,14.4114,36.7754,325.135,331.821,346.347,319.971
20.8061,35.8507,14.2588,43.0562,13.2003,37.1554,15.3418,40.3664,370.91,379.4,383.88,370.407
21.1195,37.3149,14.9375,48.4407,13.6718,38.6442,16.241,46.0613,436.86,435.374,412.05,408.797
21.6674,38.6711,15.2108,53.9694,13.8898,40.1371,17.0384,54.3787,476.856,474.861,452.293,423.908
38.0567,39.635,45.128,59.4146,39.363,41.0805,51.3257,60.9804,510.325,497.83,504.926,475.515
45.4867,47.082,84.939,106.981,46.4768,48.0135,96.7743,112.806,841.247,813.008,828.682,811.976
48.0997,50.1427,125.187,152.417,48.3994,50.9872,141.184,161.553,1103.34,1096.59,1110.88,1073.15
49.717,50.8434,164.796,204.212,50.5553,51.7378,182.103,211.511,1264.31,1244.13,1273.89,1267.99
50.9916,52.2106,203.562,253.786,51.7496,52.9459,209.545,244.983,1452.63,1479.03,1470.21,1452.86
52.0436,53.1258,238.252,292.057,52.6642,53.7427,239.3,272.556,1582.97,1565.39,1560.63,1603.05
52.6212,53.8737,268.262,326.371,53.3775,54.4147,270.798,314.439,1686.87,1709.02,1723.31,1657.01
53.4994,54.3587,304.452,376.354,53.8148,54.8122,317.657,369.695,1867.72,1810.37,1796.7,1826.15
53.9166,54.7426,325.3,396.272,54.2403,55.2296,351.708,413.198,1985.26,1947.47,1999.7,1876.2
54.2716,55.13,354.652,393.639,54.6845,55.4874,386.094,441.652,2068.61,2071.36,2056.2,2020.25
54.3874,55.3806,382.342,430.317,54.9466,55.7861,418.412,472.801,2164.9,2135.92,2183.54,2129.56
54.8314,55.6635,375.471,435.104,55.2137,55.9658,445.506,509.135,2176.64,2162.29,2193.16,2163.78
55.1649,55.8644,395.359,450.124,55.4529,56.1806,453.48,523.473,2078.23,2044.38,2060.05,2082.46
55.3484,56.0423,476.923,556.416,55.6277,56.3309,445.888,538.068,1979.8,2048.44,2033.04,2033.93
55.4433,56.2136,490.138,589.821,55.7804,56.4973,458.626,569.32,1993.49,1997.02,1993.69,1985.43
55.6962,56.5121,508.494,584.033,55.9181,56.562,486.949,554.709,1913.07,1911.12,1900.82,1899.71
56.0679,56.7283,531.711,587.341,56.1164,56.781,525.102,558.729,1835.2,1855.9,1847.98,1792.33
56.2765,56.9146,549.717,621.537,56.3066,57.0012,571.366,620.051,1761.83,1769.35,1780.06,1771.52
56.4394,57.0281,576.242,659.824,56.4481,57.1028,586.932,665.696,1788.17,1789.36,1783.97,1770.2
56.5765,57.1469,624.753,709.929,56.6105,57.1989,641.363,627.814,1799.79,1787,1773.39,1778.06
56.6865,57.2579,657.373,750.68,56.7366,57.3159,677.01,726.098,1791.35,1798.44,1821.23,1779.71
56.806,57.3486,600.914,643.711,56.833,57.4199,687.683,695.038,1805.64,1823.43,1801.22,1809.04
56.8754,57.4317,607.441,720.726,56.9115,57.4882,677.18,671.502,1815.46,1812.81,1833.04,1804.95
56.968,57.4938,665.597,733.617,56.9914,57.5276,650.28,685.655,1842.03,1827.61,1814.38,1814.66
57.0728,57.5997,693.769,780.401,57.1305,57.6529,702.583,768.354,1848.79,1829.77,1821.41,1843.93
57.1841,57.6784,718.014,833.194,57.2407,57.7286,737.732,761.106,1867.27,1860.52,1836.44,1852.75
57.2715,57.7664,720.905,849.701,57.3361,57.8083,777.906,836.521,1861.13,1860.89,1852.58,1850.09
57.3592,57.8252,761.737,800.932,57.3983,57.8488,788.943,728.208,1880.13,1868.75,1874.25,1861.05
57.421,57.8455,781.85,847.909,57.4511,57.9144,849.209,815.869,1902.07,1883.57,1860.44,1869.27
57.4824,57.9209,796.258,866.383,57.5008,57.9501,858.818,748.987,1896.13,1921.17,1872.82,1868.73
57.5192,57.9621,797.424,874.164,57.5527,57.9875,966.453,850.366,1904.95,1898.59,1872.91,1888.06
57.5562,57.9886,847.347,849.34,57.5709,58.0142,948.788,790.546,1919.66,1933.43,1898.65,1902.09
